dataset,matcher,precision,recall,f1-measure
cmt-edas,suffix,0.2857142857142857,0.6153846153846154,0.3902439024390244
cmt-edas,esaSim,0.6363636363636364,0.5384615384615384,0.5833333333333334
cmt-edas,level2_jaro,0.11494252873563218,0.7692307692307693,0.2
cmt-edas,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.2692307692307692,0.5384615384615384,0.3589743589743589
cmt-edas,smoaDistance,0.16071428571428573,0.6923076923076923,0.26086956521739135
cmt-edas,jiangConrath,0.875,0.5384615384615384,0.6666666666666667
cmt-edas,needlemanWunsch2Distance,1.0,0.6153846153846154,0.761904761904762
cmt-edas,umbcSim,0.5833333333333334,0.5384615384615384,0.5599999999999999
cmt-edas,soft_tfidf_jaro,0.5,0.6923076923076923,0.5806451612903226
cmt-edas,mongeElkan,0.13846153846153847,0.6923076923076923,0.23076923076923078
cmt-edas,simple_tfidf,0.75,0.6923076923076923,0.7199999999999999
cmt-edas,jaro_winkler_tfidf,0.5625,0.6923076923076923,0.6206896551724138
cmt-edas,levenshteinDistance,0.8888888888888888,0.6153846153846154,0.7272727272727274
cmt-edas,hammingDistance,1.0,0.6153846153846154,0.761904761904762
cmt-edas,equalDistance,1.0,0.6153846153846154,0.761904761904762
cmt-edas,subStringDistance,0.5,0.6153846153846154,0.5517241379310345
cmt-edas,ngramDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-edas,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-edas,jaroMeasure,0.23529411764705882,0.6153846153846154,0.3404255319148936
cmt-edas,best_base_matcher,1.0,0.6153846153846154,0.761904761904762
cmt-ekaw,core_platform,0.8333333333333334,0.45454545454545453,0.5882352941176471
cmt-ekaw,majority_vote,0.8333333333333334,0.45454545454545453,0.5882352941176471
cmt-ekaw,ngramDistance,0.7142857142857143,0.45454545454545453,0.5555555555555556
cmt-ekaw,wuPalmer,0.23809523809523808,0.45454545454545453,0.31249999999999994
cmt-ekaw,wuPalmerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-ekaw,path,0.7142857142857143,0.45454545454545453,0.5555555555555556
cmt-ekaw,lin,0.7142857142857143,0.45454545454545453,0.5555555555555556
cmt-ekaw,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.08860759493670886,0.6363636363636364,0.15555555555555556
cmt-ekaw,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.11764705882352941,0.5454545454545454,0.1935483870967742
cmt-ekaw,jaroWinklerMeasure,0.11764705882352941,0.5454545454545454,0.1935483870967742
cmt-ekaw,word2Vec,0.625,0.45454545454545453,0.5263157894736842
cmt-ekaw,level2_jara_winkler,0.08860759493670886,0.6363636363636364,0.15555555555555556
cmt-ekaw,prefix,0.2777777777777778,0.45454545454545453,0.3448275862068966
cmt-ekaw,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-ekaw,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.7142857142857143,0.45454545454545453,0.5555555555555556
cmt-ekaw,equalDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.8333333333333334,0.45454545454545453,0.5882352941176471
cmt-ekaw,word2VecStemmed,0.6666666666666666,0.36363636363636365,0.4705882352941177
cmt-ekaw,jaccard,0.8333333333333334,0.45454545454545453,0.5882352941176471
cmt-ekaw,level2_monge_elkan,0.1044776119402985,0.6363636363636364,0.17948717948717952
cmt-ekaw,suffix,0.2692307692307692,0.6363636363636364,0.37837837837837834
cmt-ekaw,esaSim,0.625,0.45454545454545453,0.5263157894736842
cmt-ekaw,level2_jaro,0.0945945945945946,0.6363636363636364,0.16470588235294117
cmt-ekaw,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.23809523809523808,0.45454545454545453,0.31249999999999994
cmt-ekaw,smoaDistance,0.1891891891891892,0.6363636363636364,0.2916666666666667
cmt-ekaw,jiangConrath,0.7142857142857143,0.45454545454545453,0.5555555555555556
cmt-ekaw,needlemanWunsch2Distance,0.8333333333333334,0.45454545454545453,0.5882352941176471
cmt-ekaw,umbcSim,0.5555555555555556,0.45454545454545453,0.5
cmt-ekaw,soft_tfidf_jaro,0.5,0.5454545454545454,0.5217391304347826
cmt-ekaw,mongeElkan,0.15217391304347827,0.6363636363636364,0.2456140350877193
cmt-ekaw,simple_tfidf,0.6666666666666666,0.5454545454545454,0.6
cmt-ekaw,jaro_winkler_tfidf,0.5454545454545454,0.5454545454545454,0.5454545454545454
cmt-ekaw,levenshteinDistance,0.8333333333333334,0.45454545454545453,0.5882352941176471
cmt-ekaw,hammingDistance,0.8333333333333334,0.45454545454545453,0.5882352941176471
cmt-ekaw,equalDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-ekaw,equalDistance,0.8333333333333334,0.45454545454545453,0.5882352941176471
cmt-ekaw,subStringDistance,0.5555555555555556,0.45454545454545453,0.5
cmt-ekaw,ngramDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
